monday_date,friday_date,fri_rth_close,fri_settlement,fri_rth_high,fri_rth_low,fri_rth_range,sun_open,mon_rth_open,mon_or_high,mon_or_low,mon_rth_high,mon_rth_low,globex_high,globex_low,nwog_gap,nwog_gap_abs,nwog_pct,direction,gap_rth,rth_open_in_gap,or_against_gap,globex_filled,first_hour_filled,rth_filled,mon_session_filled,tue_filled,week_filled,partial_fill_pct,fill_time_minutes,gap_bucket,globex_range,globex_toward_fill,globex_fill_pct,gap_vs_fri_range,gap_rel_q
2025-09-29,2025-09-26,25001.0,24983.0,25001.75,24776.5,225.25,24983.0,25115.0,25173.75,25103.0,25232.0,25037.0,25166.0,24978.25,-18.0,18.0,-0.07199712011519539,DOWN,114.0,False,True,True,True,True,True,False,True,100.0,0.0,0-20,187.75,183.0,1016.6666666666666,7.991120976692565,Q2
2025-10-06,2025-10-03,25238.75,25238.5,25424.5,25179.75,244.75,25256.5,25468.75,25478.25,25376.5,25509.25,25365.0,25498.0,25251.5,17.75,17.75,0.0703283641226289,UP,230.0,False,True,False,False,False,False,False,True,28.169014084507044,,0-20,246.5,5.0,28.169014084507044,7.252298263534218,Q2
2025-10-13,2025-10-10,24698.5,24444.5,25644.5,24640.75,1003.75,24798.5,25084.0,25099.25,24981.0,25221.5,24981.0,25202.25,24798.5,100.0,100.0,0.4048828876247545,UP,385.5,False,True,False,False,False,False,True,True,0.0,,50-100,403.75,0.0,0.0,9.9626400996264,Q2
2025-10-20,2025-10-17,25267.25,25290.0,25312.25,24929.0,383.25,25322.25,25379.75,25481.5,25371.25,25611.0,25371.25,25409.0,25212.25,55.0,55.0,0.21767307483006657,UP,112.5,False,False,True,False,False,True,False,True,100.0,,50-100,196.75,110.0,200.0,14.350945857795171,Q3
2025-10-27,2025-10-24,25763.0,25766.75,25827.25,25686.25,141.0,25980.0,26083.25,26116.0,26053.0,26237.75,26053.0,26109.0,25956.5,217.0,217.0,0.8422932111943485,UP,320.25,False,True,False,False,False,False,False,False,10.829493087557603,,200+,152.5,23.5,10.829493087557603,153.90070921985816,Q4 (large relative)
2025-11-03,2025-10-31,26240.75,26239.5,26464.5,26145.25,319.25,26284.75,26478.25,26522.5,26411.5,26522.5,26272.0,26516.25,26269.25,44.0,44.0,0.16767813419967034,UP,237.5,False,True,False,False,False,False,True,True,35.22727272727273,,20-50,247.0,15.5,35.22727272727273,13.782302270947532,Q3
2025-11-10,2025-11-07,25455.0,25483.25,25463.0,24965.75,497.25,25577.25,25796.25,25884.25,25781.75,26017.0,25708.5,25826.0,25525.5,122.25,122.25,0.48025928108426635,UP,341.25,False,False,False,False,False,False,False,True,42.331288343558285,,100-200,300.5,51.75,42.331288343558285,24.58521870286576,Q3
2025-11-17,2025-11-14,25388.75,25404.0,25549.75,24882.5,667.25,25398.75,25252.75,25456.25,25211.5,25510.5,24988.25,25617.75,25249.0,10.0,10.0,0.03938752400177244,UP,-136.0,False,False,True,True,True,True,False,True,100.0,0.0,0-20,368.75,149.75,1497.5,1.4986886474334957,Q1 (small relative)
2025-11-24,2025-11-21,24580.5,24605.5,24852.75,24183.75,669.0,24712.25,24779.25,24979.25,24773.25,25250.0,24773.25,24831.0,24618.25,131.75,131.75,0.5359939789670674,UP,198.75,False,False,False,False,False,False,False,False,71.34724857685009,,100-200,212.75,94.0,71.34724857685009,19.69357249626308,Q3
2025-12-01,2025-11-28,25741.0,25741.0,25756.25,25587.5,168.75,25739.0,25515.25,25578.5,25465.75,25752.25,25465.75,25802.5,25449.75,-2.0,2.0,-0.007769705916631056,DOWN,-225.75,False,False,True,False,True,True,False,True,100.0,196.0,0-20,352.75,63.5,3175.0,1.1851851851851851,Q1 (small relative)
2025-12-08,2025-12-05,25990.0,25991.5,26124.5,25907.75,216.75,26006.5,26052.25,26117.25,26028.0,26117.25,25821.25,26089.5,25956.75,16.5,16.5,0.06348595613697576,UP,62.25,False,False,True,True,True,True,False,True,100.0,20.0,0-20,132.75,49.75,301.5151515151515,7.612456747404845,Q2
2025-12-15,2025-12-12,25473.0,25459.0,25876.0,25374.5,501.5,25463.25,25655.5,25668.0,25545.75,25668.0,25285.75,25662.25,25385.0,-9.75,9.75,-0.038275821458014364,DOWN,182.5,False,False,True,True,True,True,False,True,100.0,0.0,0-20,277.25,199.0,2041.0256410256409,1.9441674975074776,Q1 (small relative)
2025-12-22,2025-12-19,25581.25,25597.5,25600.25,25354.0,246.25,25635.25,25781.75,25794.75,25672.25,25794.75,25628.0,25782.5,25632.25,54.0,54.0,0.2110921084778891,UP,200.5,False,True,False,False,False,False,False,False,13.425925925925927,,50-100,150.25,3.0,5.555555555555555,21.928934010152286,Q3
2025-12-29,2025-12-26,25868.75,25856.0,25935.25,25834.25,101.0,25863.25,25698.5,25819.0,25664.25,25819.0,25648.0,25893.75,25656.75,-5.5,5.5,-0.02126117419666586,DOWN,-170.25,False,True,True,False,False,True,False,True,100.0,,0-20,237.0,30.5,554.5454545454546,5.445544554455446,Q1 (small relative)
2026-01-05,2026-01-02,25396.5,25394.5,25803.75,25265.25,538.5,25431.75,25621.25,25672.5,25538.5,25708.0,25538.5,25637.0,25406.5,35.25,35.25,0.13879865335774613,UP,224.75,False,True,False,False,False,False,False,False,71.63120567375887,,20-50,230.5,25.25,71.63120567375887,6.545961002785515,Q2
2026-01-12,2026-01-09,25933.5,25931.75,25985.5,25615.5,370.0,25949.0,25736.5,25892.75,25734.0,26020.5,25734.0,25960.0,25632.75,15.5,15.5,0.05976825341739449,UP,-197.0,False,False,True,True,True,True,False,True,100.0,0.0,0-20,327.25,316.25,2040.3225806451612,4.1891891891891895,Q1 (small relative)
2026-01-19,2026-01-16,25679.25,25681.25,25891.0,25591.5,299.5,25471.0,25287.0,25297.0,25240.25,25417.25,25236.5,25472.0,25257.75,-208.25,208.25,-0.8109660523574482,DOWN,-392.25,False,False,False,False,False,False,False,True,0.4801920768307323,,200+,214.25,1.0,0.4801920768307323,69.53255425709516,Q4 (large relative)
2026-01-26,2026-01-23,25703.0,25680.5,25845.75,25562.5,283.25,25585.5,25738.25,25827.0,25704.25,25936.5,25704.25,25743.5,25365.25,-117.5,117.5,-0.45714508034081625,DOWN,35.25,False,True,True,True,True,True,False,True,100.0,0.0,100-200,378.25,158.0,134.46808510638297,41.48278905560459,Q4 (large relative)
2026-02-02,2026-01-30,25648.5,25639.25,25940.0,25568.75,371.25,25530.0,25532.75,25730.75,25527.5,25949.5,25527.5,25645.75,25180.25,-118.5,118.5,-0.46201532253348154,DOWN,-115.75,True,True,False,True,True,True,False,True,100.0,3.0,100-200,465.5,115.75,97.67932489451476,31.91919191919192,Q3
2026-02-09,2026-02-06,25128.0,25107.75,25222.0,24700.75,521.25,25153.75,25064.0,25148.25,24955.5,25428.75,24955.5,25346.5,24968.5,25.75,25.75,0.10247532632919454,UP,-64.0,False,False,True,True,True,True,False,True,100.0,0.0,20-50,378.0,185.25,719.4174757281553,4.940047961630696,Q1 (small relative)
2026-02-16,2026-02-13,24798.75,24773.5,24995.5,24578.75,416.75,24789.75,24760.25,24776.5,24711.5,24797.5,24670.75,24922.25,24754.5,-9.0,9.0,-0.03629215182216846,DOWN,-38.5,False,False,True,False,False,True,False,True,100.0,,0-20,167.75,132.5,1472.2222222222222,2.1595680863827234,Q1 (small relative)
2026-02-23,2026-02-20,25078.5,25077.5,25139.5,24678.5,461.0,25033.75,24975.5,25040.0,24884.75,25040.0,24668.0,25059.75,24807.25,-44.75,44.75,-0.17843969934405965,DOWN,-103.0,False,False,False,False,False,False,True,True,58.10055865921788,,20-50,252.5,26.0,58.10055865921788,9.707158351409978,Q2
2026-03-02,2026-02-27,24976.5,24959.0,25036.75,24782.0,254.75,24682.5,24640.25,24885.0,24605.0,25101.0,24605.0,24901.25,24477.0,-294.0,294.0,-1.1771064800912858,DOWN,-336.25,False,True,False,False,True,True,False,True,100.0,100.0,200+,424.25,218.75,74.40476190476191,115.4072620215898,Q4 (large relative)
2026-03-09,2026-03-06,24807.5,24807.5,24926.25,24608.75,317.5,24305.5,,,,,,24326.25,24000.0,-502.0,502.0,-2.0235815781517683,DOWN,,,,False,False,False,False,False,False,4.133466135458167,,200+,326.25,20.75,4.133466135458167,158.11023622047244,Q4 (large relative)
